Num of Samples = 	512																				
Wraps = 	64	 Interleafs = 	8	 finished in 	38041	 ms															
Wraps = 	64	 Interleafs = 	8	 PSNR: 	12.0174																
Wraps = 	64	 Interleafs = 	8	 SSIM: 	0.520486																
																					
Num of Samples = 	1024																				
Wraps = 	128	 Interleafs = 	8	 finished in 	37923	 ms															
Wraps = 	128	 Interleafs = 	8	 PSNR: 	10.0387																
Wraps = 	128	 Interleafs = 	8	 SSIM: 	0.314295																
																					
Num of Samples = 	2048																				
Wraps = 	256	 Interleafs = 	8	 finished in 	37176	 ms															
Wraps = 	256	 Interleafs = 	8	 PSNR: 	9.17518																
Wraps = 	256	 Interleafs = 	8	 SSIM: 	0.173313																
																					
Num of Samples = 	4096																				
Wraps = 	512	 Interleafs = 	8	 finished in 	37778	 ms															
Wraps = 	512	 Interleafs = 	8	 PSNR: 	9.23856																
Wraps = 	512	 Interleafs = 	8	 SSIM: 	0.182932																
																					
Num of Samples = 	16																				
Wraps = 	1	 Interleafs = 	16	 finished in 	36727	 ms															
Wraps = 	1	 Interleafs = 	16	 PSNR: 	11.3052																
Wraps = 	1	 Interleafs = 	16	 SSIM: 	0.451136																
																					
Num of Samples = 	32																				
Wraps = 	2	 Interleafs = 	16	 finished in 	37074	 ms															
Wraps = 	2	 Interleafs = 	16	 PSNR: 	12.4535																
Wraps = 	2	 Interleafs = 	16	 SSIM: 	0.569217																
																					
Num of Samples = 	64																				
Wraps = 	4	 Interleafs = 	16	 finished in 	37617	 ms															
Wraps = 	4	 Interleafs = 	16	 PSNR: 	13.6827																
Wraps = 	4	 Interleafs = 	16	 SSIM: 	0.679549																
																					
Num of Samples = 	128																				
Wraps = 	8	 Interleafs = 	16	 finished in 	36952	 ms															
Wraps = 	8	 Interleafs = 	16	 PSNR: 	16.1352																
Wraps = 	8	 Interleafs = 	16	 SSIM: 	0.827133																
																					
Num of Samples = 	256																				
Wraps = 	16	 Interleafs = 	16	 finished in 	137371	 ms															
Wraps = 	16	 Interleafs = 	16	 PSNR: 	15.0469																
Wraps = 	16	 Interleafs = 	16	 SSIM: 	0.736315																
																					
Num of Samples = 	512																				
Wraps = 	32	 Interleafs = 	16	 finished in 	37587	 ms															
Wraps = 	32	 Interleafs = 	16	 PSNR: 	11.9866																
Wraps = 	32	 Interleafs = 	16	 SSIM: 	0.519048																
																					
Num of Samples = 	1024																				
Wraps = 	64	 Interleafs = 	16	 finished in 	37285	 ms															
Wraps = 	64	 Interleafs = 	16	 PSNR: 	10.0147																
Wraps = 	64	 Interleafs = 	16	 SSIM: 	0.312728																
																					
Num of Samples = 	2048																				
Wraps = 	128	 Interleafs = 	16	 finished in 	134219	 ms															
Wraps = 	128	 Interleafs = 	16	 PSNR: 	10.6583																
Wraps = 	128	 Interleafs = 	16	 SSIM: 	0.341366																
																					
Num of Samples = 	4096																				
Wraps = 	256	 Interleafs = 	16	 finished in 	37465	 ms															
Wraps = 	256	 Interleafs = 	16	 PSNR: 	10.1046																
Wraps = 	256	 Interleafs = 	16	 SSIM: 	0.323139																
																					
Num of Samples = 	8192																				
Wraps = 	512	 Interleafs = 	16	 finished in 	114103	 ms															
Wraps = 	512	 Interleafs = 	16	 PSNR: 	9.89648																
Wraps = 	512	 Interleafs = 	16	 SSIM: 	0.315456																
																					
Num of Samples = 	32																				
Wraps = 	1	 Interleafs = 	32	 finished in 	37428	 ms															
Wraps = 	1	 Interleafs = 	32	 PSNR: 	14.8481																
Wraps = 	1	 Interleafs = 	32	 SSIM: 	0.719062																
																					
Num of Samples = 	64																				
Wraps = 	2	 Interleafs = 	32	 finished in 	106576	 ms															
Wraps = 	2	 Interleafs = 	32	 PSNR: 	15.8617																
Wraps = 	2	 Interleafs = 	32	 SSIM: 	0.785602																
																					
Num of Samples = 	128																				
Wraps = 	4	 Interleafs = 	32	 finished in 	37360	 ms															
Wraps = 	4	 Interleafs = 	32	 PSNR: 	16.3206																
Wraps = 	4	 Interleafs = 	32	 SSIM: 	0.839143																
																					
Num of Samples = 	256																				
Wraps = 	8	 Interleafs = 	32	 finished in 	37037	 ms															
Wraps = 	8	 Interleafs = 	32	 PSNR: 	14.8231																
Wraps = 	8	 Interleafs = 	32	 SSIM: 	0.732357																
																					
Num of Samples = 	512																				
Wraps = 	16	 Interleafs = 	32	 finished in 	37053	 ms															
Wraps = 	16	 Interleafs = 	32	 PSNR: 	11.8643																
Wraps = 	16	 Interleafs = 	32	 SSIM: 	0.513429																
																					
Num of Samples = 	1024																				
Wraps = 	32	 Interleafs = 	32	 finished in 	37052	 ms															
Wraps = 	32	 Interleafs = 	32	 PSNR: 	11.6983																
Wraps = 	32	 Interleafs = 	32	 SSIM: 	0.505388																
																					
Num of Samples = 	2048																				
Wraps = 	64	 Interleafs = 	32	 finished in 	113129	 ms															
Wraps = 	64	 Interleafs = 	32	 PSNR: 	11.5263																
Wraps = 	64	 Interleafs = 	32	 SSIM: 	0.497771																
																					
Num of Samples = 	4096																				
Wraps = 	128	 Interleafs = 	32	 finished in 	37385	 ms															
Wraps = 	128	 Interleafs = 	32	 PSNR: 	12.0578																
Wraps = 	128	 Interleafs = 	32	 SSIM: 	0.541395																
																					
Num of Samples = 	8192																				
Wraps = 	256	 Interleafs = 	32	 finished in 	136722	 ms															
Wraps = 	256	 Interleafs = 	32	 PSNR: 	12.5058																
Wraps = 	256	 Interleafs = 	32	 SSIM: 	0.591754																
																					
Num of Samples = 	16384																				
Wraps = 	512	 Interleafs = 	32	 finished in 	37277	 ms															
Wraps = 	512	 Interleafs = 	32	 PSNR: 	14.8481																
